follower,following,timestap,tweet,user_name
287,805,Thu Oct 25 13:55:39 +0000 2018,"RT @1910AntiCebong: Menurut kalian Ormas Mana yg lebih di percaya dan di cintai oleh umat Islam saat ini :

FPI : Reetweet / RT
Banser : LI…",susgi_Rmt
419,836,Thu Oct 25 13:55:39 +0000 2018,"RT @CakKhum: Susi Semprot Lagi Sandi: Satu Kata Saja, Goblok

Kalau Sandi Goblok Enggak Mungkin dia jadi pengusaha sukses, duh kasar amat B…",bmt_sabary
559,453,Thu Oct 25 13:55:38 +0000 2018,"RT @putrabanten80: Massa sujud syukur atas OTT Bupati Cirebon mereka bersorak sorai didepan pendopo Rumah Dinas Bupati Cirebon

Hallo...PDI…",ElPertama
262,442,Thu Oct 25 13:55:37 +0000 2018,"Pemimpin, kami inginkan seseorang yang akan menginspirasi kita untuk menjadi apa yang kita tahu dan apa yang kita b… https://t.co/Xsdnx0NZvJ",abutanohcak
596,205,Thu Oct 25 13:55:32 +0000 2018,"RT @putrabanten80: Massa sujud syukur atas OTT Bupati Cirebon mereka bersorak sorai didepan pendopo Rumah Dinas Bupati Cirebon

Hallo...PDI…",taat_ulama
458,254,Thu Oct 25 13:55:32 +0000 2018,"RT @Prieyan_: Apa itu Politik SONTOLOYO..???

Politikus yang Berjanji ketika Masa Kampanyenya dengan Luar Biasa
Begitu terpilih dia malah t…",hendra0201
27,36,Thu Oct 25 13:55:30 +0000 2018,"RT @RajaAngku: Duh serrr maaf kepijit ya...

#BelaKalimatTauhid 
#2019GantiPresiden https://t.co/eu5g1nbn2Z",SuwandiSopandi
2447,720,Thu Oct 25 13:55:28 +0000 2018,"RT @RanupsProSandi: #AksiBelaKalimatTauhid 
Pekanbaru bergerak!
25.10.18 
 Saatnya kita bersatu demi #IndonesiaAdilMakmur
#2019GantiPreside…",Hendra_Alamin
1304,1099,Thu Oct 25 13:55:28 +0000 2018,"RT @elfizal: Selesai!!

Setop Kasus Ratna, Bawaslu: Prabowo tak Lakukan Pelanggaran
#2019GantiPresiden

https://t.co/2HQ3vWM2J8",Qulo002
218,439,Thu Oct 25 13:55:25 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",My_xpie
98,176,Thu Oct 25 13:55:24 +0000 2018,"RT @putrabanten80: Massa sujud syukur atas OTT Bupati Cirebon mereka bersorak sorai didepan pendopo Rumah Dinas Bupati Cirebon

Hallo...PDI…",Dahuru
4,40,Thu Oct 25 13:55:20 +0000 2018,"RT @1910AntiCebong: Menurut kalian Ormas Mana yg lebih di percaya dan di cintai oleh umat Islam saat ini :

FPI : Reetweet / RT
Banser : LI…",GolDRog69836462
1738,3220,Thu Oct 25 13:55:19 +0000 2018,"RT @MSAokepunya: #salingfollow sesama loyalis PAS demi terwujudnya #2019GantiPresiden 

Caranya
1. PAS-tikan
follow👉@MSAokepunya
2. PAS-tik…",JuliWidiharto
359,336,Thu Oct 25 13:55:16 +0000 2018,"Jokowi itu sering di demo mahasiswa, tpi berlindung pada suara rakyat yg berpendidikan rendah, kaum milenial dan in… https://t.co/lJD13msmRy",hikamfajri1
